date,沪深300,纳指100,黄金
2021-01-04,5.334,0.8666,3.902
2021-01-05,5.433,0.8550000000000001,3.92
2021-01-06,5.482,0.8512000000000001,3.931
2021-01-07,5.599,0.8486,3.903
2021-01-08,5.571,0.8635999999999999,3.878
2021-01-11,5.508,0.8662000000000001,3.777
2021-01-12,5.668,0.8598000000000001,3.805
2021-01-13,5.646,0.8562,3.797
2021-01-14,5.543,0.8593999999999999,3.772
2021-01-15,5.526,0.8535999999999999,3.785
2021-01-18,5.513,0.8488,3.775
2021-01-19,5.438,0.8582000000000001,3.779
2021-01-20,5.468,0.8648,3.789
2021-01-21,5.562,0.8869999999999999,3.825
2021-01-22,5.565,0.8864000000000001,3.806
2021-01-25,5.631,0.8942,3.788
2021-01-26,5.511,0.8886,3.799
2021-01-27,5.521,0.9026,3.779
2021-01-28,5.385,0.8666,3.761
2021-01-29,5.348,0.8654,3.778
2021-02-01,5.411,0.8619999999999999,3.82
2021-02-02,5.491,0.8882,3.789
2021-02-03,5.485,0.8986000000000001,3.75
2021-02-04,5.474,0.8897999999999999,3.723
2021-02-05,5.482,0.9016,3.681
2021-02-08,5.554,0.9074,3.712
2021-02-09,5.692,0.9071999999999999,3.752
2021-02-10,5.807,0.9106,3.756
2021-02-18,5.764,0.9064,3.65
2021-02-19,5.796,0.9054,3.634
2021-02-22,5.589,0.8974,3.675
2021-02-23,5.574,0.8832000000000001,3.713
2021-02-24,5.427,0.8678000000000001,3.705
2021-02-25,5.478,0.8844,3.67
2021-02-26,5.329,0.8492000000000001,3.613
2021-03-01,5.418,0.8684,3.595
2021-03-02,5.349,0.8792,3.536
2021-03-03,5.454,0.8752000000000001,3.549
2021-03-04,5.287,0.8468,3.514
2021-03-05,5.266,0.8364,3.482
2021-03-08,5.08,0.8378,3.519
2021-03-09,4.979,0.8305999999999999,3.506
2021-03-10,5.0,0.8522000000000001,3.542
2021-03-11,5.129,0.8593999999999999,3.573
2021-03-12,5.142,0.8648,3.524
2021-03-15,5.04,0.8612,3.556
2021-03-16,5.073,0.8774,3.562
2021-03-17,5.096,0.876,3.577
2021-03-18,5.136,0.8826,3.604
2021-03-19,4.997,0.8534,3.589
2021-03-22,5.054,0.8615999999999999,3.57
2021-03-23,5.009,0.8698,3.585
2021-03-24,4.933,0.8702,3.578
2021-03-25,4.929,0.857,3.589
2021-03-26,5.033,0.8644000000000001,3.579
2021-03-29,5.043,0.8644000000000001,3.579
2021-03-30,5.087,0.8662000000000001,3.536
2021-03-31,5.05,0.8657999999999999,3.495
2021-04-01,5.112,0.8859999999999999,3.565
2021-04-02,5.161,0.8958,3.612
2021-04-06,5.133,0.9098,3.591
2021-04-07,5.098,0.909,3.607
2021-04-08,5.109,0.9183999999999999,3.614
2021-04-09,5.038,0.921,3.631
2021-04-12,4.954,0.9269999999999999,3.612
2021-04-13,4.947,0.925,3.575
2021-04-14,4.975,0.9369999999999999,3.615
2021-04-15,4.947,0.9276,3.612
2021-04-16,4.963,0.9362,3.643
2021-04-19,5.089,0.9380000000000001,3.67
2021-04-20,5.081,0.924,3.635
2021-04-21,5.093,0.917,3.673
2021-04-22,5.089,0.9254,3.676
2021-04-23,5.14,0.9144,3.668
2021-04-26,5.076,0.9238,3.649
2021-04-27,5.089,0.9311999999999999,3.653
2021-04-28,5.127,0.9279999999999999,3.632
2021-04-29,5.173,0.9305999999999999,3.643
2021-04-30,5.128,0.9238,3.625
2021-05-06,5.061,0.9023999999999999,3.676
2021-05-07,5.0,0.9004,3.717
2021-05-10,4.999,0.9074,3.73
2021-05-11,5.025,0.881,3.725
2021-05-12,5.056,0.8812,3.732
2021-05-13,5.001,0.8692,3.717
2021-05-14,5.127,0.8788,3.739
